Candidate Name,DOB,Registration Number,State,Maths,Physics,English,GK,Total Marks,PFT
Ishaan Khan,23-01-2005,395974,Bihar,14,15,8,5,42,Pass
Kunal Reddy,20-01-2005,987148,Punjab,11,16,9,8,44,Pass
David Sharma,20-04-2006,547671,Bihar,5,18,5,10,38,Pass
Rohan Verma,23-12-2004,696398,Chhattisgarh,23,5,3,12,43,Pass
John Reddy,27-10-2005,800289,Jammu & Kashmir + Ladakh,23,4,3,3,33,Pass
Raj D'Souza,14-11-2005,804021,Rajasthan,18,15,23,3,59,Pass
Aarav Verma,30-04-2005,401637,Uttar Pradesh,14,9,9,13,45,Pass
Ayaan Mehta,08-07-2005,481658,Uttar Pradesh,7,9,10,2,28,Pass
Aryan Pillai,22-05-2005,432791,Jammu & Kashmir + Ladakh,17,10,13,1,41,Pass
Ishaan Reddy,14-04-2005,394498,Maharashtra,12,9,11,9,41,Pass
Kunal Mehta,09-02-2006,388054,Rajasthan,0,24,2,3,29,Pass
Gurpreet Mehta,25-07-2005,931511,West Bengal,21,7,13,8,49,Pass
Yash Reddy,20-06-2005,331281,Karnataka,14,5,15,10,44,Pass
Peter Sharma,10-01-2005,952103,Maharashtra,6,1,13,6,26,Pass
David Verma,26-01-2006,636587,Tamil Nadu,13,19,0,2,34,Pass
Krishna Khan,16-11-2004,270001,Rajasthan,12,19,5,16,52,Pass
Vivaan Fernandes,14-09-2005,603521,West Bengal,3,23,16,20,62,Pass
Aarav Pillai,31-12-2004,474249,Andhra Pradesh,21,7,0,19,47,Pass
John Khan,03-03-2006,958145,West Bengal,5,16,7,11,39,Pass
Mathew Chopra,28-08-2005,369367,West Bengal,16,11,3,15,45,Pass
Kunal Singh,01-03-2006,398248,Himachal Pradesh,21,16,3,21,61,Pass
Balbir Verma,05-03-2005,788874,Karnataka,24,21,2,10,57,Pass
Raj D'Souza,22-05-2005,262653,Tamil Nadu,4,4,23,2,33,Pass
Ishaan Mehta,03-07-2005,708523,Tamil Nadu,5,23,10,4,42,Pass
Yash Verma,07-04-2005,870964,Punjab,15,9,10,15,49,Pass
Ishaan Singh,07-03-2005,172586,West Bengal,3,16,18,19,56,Pass
Kunal D'Souza,14-08-2005,417624,Rajasthan,19,9,8,7,43,Pass
Rohan Khan,26-04-2005,522161,Tamil Nadu,13,18,5,9,45,Pass
Yash Mehta,16-04-2006,283688,Uttar Pradesh,17,9,3,4,33,Pass
Kunal Pillai,07-12-2004,964263,Uttarakhand,3,0,16,21,40,Pass
Balbir Verma,12-02-2006,348868,Uttar Pradesh,9,9,22,14,54,Pass
Aditya Sharma,01-01-2006,192749,Madhya Pradesh,4,19,12,18,53,Pass
Gurpreet Sharma,15-09-2005,157540,Madhya Pradesh,3,6,5,3,17,Pass
Raj Verma,15-08-2005,496019,Bihar,0,2,22,21,45,Pass
Mathew Mehta,30-03-2006,297370,Maharashtra,13,1,16,3,33,Pass
Raj Mehta,29-09-2005,249384,Uttar Pradesh,9,9,7,14,39,Pass
Krishna Reddy,08-11-2005,741170,Karnataka,5,11,11,14,41,Pass
Manpreet Verma,17-01-2005,116718,Punjab,7,18,10,22,57,Pass
Aarav D'Souza,25-04-2005,997896,Haryana,9,19,3,15,46,Pass
Ishaan Mehta,09-11-2005,214493,Maharashtra,6,1,18,24,49,Pass
Peter Verma,02-02-2005,508458,Haryana,2,21,22,23,68,Pass
Manpreet Pillai,05-03-2006,902191,Uttar Pradesh,15,9,3,14,41,Pass
Paul Mehta,25-12-2005,681690,Maharashtra,9,14,1,12,36,Pass
Harjeet Reddy,03-11-2005,619804,Maharashtra,6,22,21,2,51,Pass
Manpreet Reddy,26-01-2005,548270,Uttarakhand,3,7,8,17,35,Pass
Krishna Chopra,03-09-2005,214717,Uttarakhand,9,12,8,21,50,Pass
Kunal Verma,05-04-2005,827086,West Bengal,7,18,24,5,54,Pass
Aryan Sharma,02-03-2005,769110,Madhya Pradesh,12,7,7,9,35,Pass
Imran D'Souza,05-11-2005,447866,Mizoram,13,21,7,2,43,Pass
Vivaan Pillai,26-02-2006,501637,Uttar Pradesh,11,9,17,14,51,Pass
Sukhwinder Chopra,25-01-2006,531341,Bihar,9,22,5,15,51,Pass
Aarav Chopra,24-09-2005,538235,Bihar,3,13,3,23,42,Pass
Balbir Khan,02-01-2006,599971,Bihar,24,16,22,24,86,Pass
Raj Fernandes,23-11-2005,731124,Gujarat,9,6,8,9,32,Pass
Aryan D'Souza,30-04-2006,898438,Telangana,14,3,8,16,41,Pass
Aarav Sharma,19-08-2005,279818,Rajasthan,14,19,8,1,42,Pass
Balbir Verma,04-03-2005,536962,Madhya Pradesh,0,8,0,8,16,Pass
Vivaan Khan,27-11-2004,144983,Bihar,12,5,15,8,40,Pass
Vivaan Pillai,29-03-2006,137037,Telangana,9,5,7,22,43,Pass
David Verma,20-12-2004,521945,Himachal Pradesh,24,0,16,11,51,Pass
Paul Khan,08-02-2005,193884,Bihar,11,0,4,23,38,Pass
Rohan Khan,06-07-2005,941658,Bihar,16,5,1,23,45,Pass
Aditya D'Souza,25-10-2005,286114,Bihar,2,17,17,2,38,Pass
Yash Reddy,06-01-2005,879804,Uttar Pradesh,24,9,14,14,61,Pass
Yash Fernandes,12-03-2005,478547,Bihar,6,11,6,24,47,Pass
Harjeet Khan,21-04-2006,749942,Bihar,6,24,2,22,54,Pass
Krishna Pillai,21-11-2005,523129,Odisha,15,0,12,14,41,Pass
Yash D'Souza,21-09-2005,171039,Uttar Pradesh,6,9,4,14,33,Pass
Balbir Reddy,24-11-2005,104979,Haryana,4,7,15,16,42,Pass
Yash Singh,25-02-2005,176017,Tamil Nadu,11,5,20,4,40,Pass
Sukhwinder Verma,13-02-2005,890830,Bihar,10,5,19,10,44,Pass
Vivaan Chopra,18-02-2006,562162,Haryana,16,5,16,1,38,Pass
Gurpreet Pillai,06-08-2005,411290,West Bengal,3,22,10,21,56,Pass
Vivaan Sharma,18-05-2005,922892,Telangana,9,11,7,7,34,Pass
Gurpreet Sharma,14-10-2005,190923,Uttar Pradesh,16,9,4,14,43,Pass
Yash Reddy,11-12-2005,245929,Punjab,17,21,18,23,79,Pass
Krishna Chopra,24-02-2006,869404,West Bengal,8,24,2,18,52,Pass
Manpreet Pillai,29-07-2005,415423,West Bengal,6,12,21,11,50,Pass
Paul Sharma,26-07-2005,112292,West Bengal,3,10,23,16,52,Pass
Yash Singh,26-04-2006,625962,Rajasthan,18,20,8,16,62,Pass
Sukhwinder Singh,12-05-2005,556207,Goa,3,2,19,23,47,Pass
Mathew Khan,13-04-2006,504502,Uttar Pradesh,4,9,4,14,31,Pass
Vivaan Khan,16-01-2006,849170,Tamil Nadu,0,21,23,21,65,Pass
Aryan Mehta,21-06-2005,984044,Haryana,0,2,18,13,33,Pass
Aditya Verma,23-07-2005,194151,Tamil Nadu,18,9,5,1,33,Pass
Aryan Fernandes,24-04-2006,387074,Andhra Pradesh,19,10,13,8,50,Pass
Harjeet Pillai,04-08-2005,153660,Uttar Pradesh,8,9,4,14,35,Pass
Aryan Singh,09-05-2005,926901,Bihar,22,8,7,22,59,Pass
Aryan Sharma,14-01-2005,852286,Odisha,12,5,18,12,47,Pass
Krishna Fernandes,14-02-2005,690040,Assam,6,23,5,1,35,Pass
Yash Singh,04-04-2005,476711,Madhya Pradesh,14,15,19,8,56,Pass
Balbir Khan,17-11-2005,556116,Tamil Nadu,12,21,11,13,57,Pass
Aarav Reddy,12-11-2005,958972,Kerala,0,18,12,12,42,Pass
Aarav Pillai,13-04-2005,128144,Madhya Pradesh,1,14,18,15,48,Pass
Ishaan Verma,25-02-2005,681973,Maharashtra,11,1,9,17,38,Pass
Kunal Sharma,13-04-2006,470939,Madhya Pradesh,20,1,6,5,32,Pass
Vivaan Chopra,12-11-2004,795790,Uttarakhand,4,1,8,14,27,Pass
Aryan Reddy,20-11-2004,884516,Gujarat,19,19,1,21,60,Pass
Rohan Reddy,05-08-2005,272060,Tamil Nadu,21,14,7,5,47,Pass
Aditya Pillai,29-11-2005,746277,Uttar Pradesh,3,9,4,14,30,Pass
Aditya Khan,02-05-2005,520467,Haryana,4,3,12,20,39,Pass
Aditya Fernandes,29-03-2005,314381,Uttar Pradesh,11,9,4,14,38,Pass
Aarav Chopra,14-06-2005,769537,Uttar Pradesh,0,9,4,14,27,Pass
Balbir Pillai,10-09-2005,416910,Maharashtra,6,10,23,24,63,Pass
Raj Reddy,22-01-2006,978468,Madhya Pradesh,0,5,8,16,29,Pass
Rohan Verma,31-07-2005,376449,Punjab,23,3,17,5,48,Pass
Aryan Chopra,11-04-2005,742580,Andhra Pradesh,19,8,11,8,46,Pass
Yash D'Souza,22-02-2006,925478,Bihar,11,3,24,3,41,Pass
Aarav Khan,28-12-2005,283329,Telangana,1,12,3,8,24,Pass
Vivaan Khan,02-05-2005,355786,Jammu & Kashmir + Ladakh,8,10,21,23,62,Pass
Ishaan Reddy,09-09-2005,458641,Rajasthan,2,24,7,7,40,Pass
Aditya Verma,17-05-2005,190161,Uttar Pradesh,23,9,4,14,50,Pass
Raj Sharma,18-10-2005,823424,Telangana,7,12,3,21,43,Pass
Yash Fernandes,22-11-2005,333885,Maharashtra,6,14,18,16,54,Pass
Rohan Sharma,06-01-2006,823068,Uttar Pradesh,22,9,4,14,49,Pass
Aditya Fernandes,25-02-2006,254359,Odisha,15,20,3,0,38,Pass
Kunal D'Souza,29-10-2005,337349,Assam,7,12,17,22,58,Pass
Aarav Verma,17-02-2005,845878,Rajasthan,19,11,23,23,76,Pass
Kunal Pillai,22-02-2006,146823,West Bengal,24,2,1,6,33,Pass
Gurpreet Reddy,08-07-2005,228189,Rajasthan,15,0,23,10,48,Pass
Manpreet Chopra,27-01-2006,497387,Telangana,13,17,15,3,48,Pass
Vivaan Fernandes,13-03-2006,753371,Delhi,19,17,12,18,66,Pass
Raj Singh,12-12-2005,414066,Andhra Pradesh,13,15,6,1,35,Pass
Yash Fernandes,07-11-2005,500018,Tamil Nadu,13,24,21,23,81,Pass
Manpreet Pillai,28-08-2005,787426,Telangana,16,4,3,16,39,Pass
Yash Reddy,16-03-2006,474415,Madhya Pradesh,24,16,1,8,49,Pass
Rohan Chopra,02-01-2005,719093,Madhya Pradesh,16,23,3,10,52,Pass
Yash Mehta,23-09-2005,165902,Rajasthan,12,14,7,0,33,Pass
Yash Sharma,04-02-2005,877618,Odisha,15,6,13,4,38,Pass
Aryan Reddy,23-08-2005,838458,Delhi,23,20,0,22,65,Pass
Krishna D'Souza,20-02-2006,891275,Tamil Nadu,9,10,8,17,44,Pass
David Singh,09-02-2005,490634,Punjab,2,4,18,19,43,Pass
Krishna Pillai,12-12-2004,184917,Punjab,4,16,21,17,58,Pass
Kunal Chopra,23-05-2005,753151,Madhya Pradesh,13,0,6,8,27,Pass
Yash Singh,31-01-2006,840831,Maharashtra,6,21,2,24,53,Pass
Zaid D'Souza,15-04-2005,981715,Tamil Nadu,3,20,5,16,44,Pass
Ishaan Chopra,26-02-2005,542163,Madhya Pradesh,2,0,18,17,37,Pass
Yash Pillai,24-01-2005,909397,Gujarat,4,10,16,15,45,Pass
Harjeet Verma,15-12-2005,961654,Chhattisgarh,20,8,22,14,64,Pass
Krishna Fernandes,04-03-2005,371269,Jharkhand,18,15,2,23,58,Pass
Krishna Mehta,11-01-2006,717173,Tripura,4,5,12,8,29,Pass
Peter Pillai,30-03-2005,589640,Maharashtra,14,13,1,9,37,Pass
Peter Chopra,20-07-2005,534464,Gujarat,22,3,14,1,40,Pass
Peter Singh,12-02-2006,567940,Andhra Pradesh,2,10,13,22,47,Pass
Aryan Pillai,09-09-2005,320397,Madhya Pradesh,1,10,11,22,44,Pass
Ishaan Reddy,22-04-2005,204416,Haryana,1,20,3,13,37,Pass
Yash Khan,09-05-2006,912548,Punjab,22,19,3,9,53,Pass
Rohan Fernandes,26-06-2005,798059,Uttar Pradesh,13,9,4,14,40,Pass
Aditya Fernandes,24-10-2005,922496,Haryana,10,23,0,23,56,Pass
Sukhwinder Verma,17-05-2005,846778,Kerala,6,16,6,2,30,Pass
Ishaan D'Souza,14-06-2005,787000,Madhya Pradesh,24,19,6,6,55,Pass
Paul Verma,18-06-2005,190011,Bihar,16,24,1,19,60,Pass
Imran Verma,26-07-2005,302699,Rajasthan,7,2,8,4,21,Pass
Aryan Mehta,14-11-2005,400192,Bihar,8,12,8,14,42,Pass
John Singh,16-08-2005,186719,Rajasthan,8,6,17,11,42,Pass
Raj Fernandes,21-11-2005,436051,Andhra Pradesh,2,0,11,17,30,Pass
David Mehta,19-11-2005,184357,Maharashtra,12,7,12,12,43,Pass
Raj Reddy,11-03-2006,682749,Uttar Pradesh,16,9,4,14,43,Pass
Raj Mehta,26-02-2006,582578,Bihar,15,0,23,4,42,Pass
Peter D'Souza,04-10-2005,173748,Maharashtra,3,0,23,23,49,Pass
Mathew Verma,16-12-2005,797285,Maharashtra,11,10,6,8,35,Pass
Balbir Chopra,12-02-2006,359176,Punjab,17,8,15,16,56,Pass
Aditya Mehta,26-11-2005,665123,Tamil Nadu,13,1,10,13,37,Pass
Yash Pillai,03-01-2006,916750,Tripura,12,24,11,3,50,Pass
Krishna Verma,10-04-2006,394601,Rajasthan,7,17,14,7,45,Pass
Imran Mehta,15-04-2005,556111,Tamil Nadu,18,5,17,16,56,Pass
Rohan Verma,18-06-2005,736040,West Bengal,14,4,18,3,39,Pass
Balbir Khan,24-10-2005,336786,Maharashtra,17,15,4,0,36,Pass
Raj Singh,28-05-2005,471763,Madhya Pradesh,6,1,0,18,25,Pass
Mathew Fernandes,02-02-2005,486623,Haryana,22,11,11,4,48,Pass
Yash Mehta,07-05-2006,522306,Odisha,9,7,11,6,33,Pass
Balbir Pillai,29-10-2005,977608,Rajasthan,13,20,14,14,61,Pass
John Sharma,16-05-2005,920838,Uttar Pradesh,17,9,4,14,44,Pass
Aryan D'Souza,22-09-2005,948462,Bihar,19,22,6,2,49,Pass
Aditya Khan,09-02-2006,389701,Madhya Pradesh,1,22,15,17,55,Pass
Yash Khan,13-11-2005,516700,Madhya Pradesh,2,0,13,23,38,Pass
Krishna Verma,25-05-2005,785651,Telangana,6,3,4,16,29,Pass
Vivaan Mehta,27-05-2005,556560,Rajasthan,17,2,18,22,59,Pass
Ishaan Fernandes,06-04-2005,782523,West Bengal,16,6,8,7,37,Pass
Yash Khan,23-12-2004,280127,Maharashtra,9,22,3,3,37,Pass
Aarav Verma,21-08-2005,616393,Uttar Pradesh,13,9,4,14,40,Pass
Vivaan Mehta,19-12-2004,129752,Uttar Pradesh,20,9,4,14,47,Pass
Zaid Singh,03-01-2006,768994,Uttar Pradesh,1,9,4,14,28,Pass
Kunal Reddy,06-01-2005,330320,Himachal Pradesh,1,9,9,9,28,Pass
Paul Reddy,13-03-2006,734883,Jharkhand,17,4,22,22,65,Pass
Sukhwinder D'Souza,04-06-2005,383808,Bihar,15,9,19,1,44,Pass
Kunal Khan,24-04-2005,532208,Tamil Nadu,13,10,20,18,61,Pass
Aarav Khan,24-03-2006,916008,Maharashtra,21,5,7,10,43,Pass
Vivaan Sharma,01-09-2005,285928,Jharkhand,3,23,14,5,45,Pass
Yash Chopra,29-11-2005,970627,Karnataka,9,2,7,0,18,Pass
Krishna Fernandes,28-08-2005,568104,West Bengal,21,5,7,10,43,Pass
Manpreet Pillai,13-04-2005,604514,Uttar Pradesh,5,9,4,14,32,Pass
Aryan Fernandes,15-01-2006,265758,Kerala,17,19,6,3,45,Pass
Aryan Reddy,04-05-2006,926664,Himachal Pradesh,12,9,8,10,39,Pass
Gurpreet Reddy,21-03-2006,171203,Tamil Nadu,20,4,20,3,47,Pass
David Mehta,19-10-2005,940354,Telangana,3,12,11,19,45,Pass
Ishaan Verma,18-11-2005,957366,Chhattisgarh,7,7,23,6,43,Pass
Farhan Reddy,19-02-2006,630640,Jharkhand,3,1,17,5,26,Pass
Yash Reddy,03-05-2006,822684,West Bengal,4,9,20,8,41,Pass
Manpreet Pillai,29-08-2005,652352,Punjab,16,12,24,3,55,Pass
Manpreet Verma,16-04-2006,262002,Haryana,7,0,14,24,45,Pass
Aryan Chopra,20-07-2005,629312,Jharkhand,20,6,22,17,65,Pass
Vivaan Reddy,03-06-2005,168454,Uttar Pradesh,11,9,4,14,38,Pass
Balbir Pillai,25-02-2005,141119,Telangana,4,3,18,22,47,Pass
Kunal D'Souza,15-12-2005,715432,Tamil Nadu,9,16,7,3,35,Pass
Aarav Reddy,09-05-2005,618902,Uttar Pradesh,0,9,4,14,27,Pass
Aarav Pillai,29-12-2004,934722,Haryana,23,3,13,11,50,Pass
Kunal Verma,16-06-2005,844910,Uttar Pradesh,9,9,4,14,36,Pass
Aditya Sharma,23-11-2004,909139,Maharashtra,6,17,24,6,53,Pass
Peter Reddy,30-07-2005,106632,Punjab,22,22,3,4,51,Pass
Imran Pillai,31-05-2005,271961,Telangana,4,2,17,8,31,Pass
Krishna Reddy,24-01-2006,706046,Haryana,2,24,15,24,65,Pass
Mathew Reddy,18-02-2005,534657,Punjab,23,8,0,17,48,Pass
Harjeet D'Souza,24-04-2005,115850,Haryana,10,24,12,19,65,Pass
Aryan Verma,19-05-2005,118059,Tamil Nadu,0,4,10,10,24,Pass
Aryan Pillai,26-01-2005,753940,Madhya Pradesh,1,3,22,21,47,Pass
Gurpreet Chopra,14-11-2005,519707,Haryana,14,5,9,5,33,Pass
Aarav Fernandes,26-09-2005,700241,Bihar,3,10,7,11,31,Pass
Kunal Khan,12-08-2005,413063,Uttarakhand,3,23,8,22,56,Pass
Imran Reddy,28-07-2005,604962,West Bengal,4,12,22,6,44,Pass
John Chopra,16-06-2005,570853,Himachal Pradesh,8,9,9,5,31,Pass
Vivaan Reddy,20-11-2004,443893,Bihar,9,0,10,10,29,Pass
Raj Reddy,10-09-2005,606054,Rajasthan,23,21,16,12,72,Pass
Aryan Reddy,03-05-2005,149870,Rajasthan,15,12,17,12,56,Pass
Ishaan Verma,17-12-2004,567029,Meghalaya,13,4,24,0,41,Pass
Aarav Fernandes,15-11-2004,427318,Bihar,23,1,10,8,42,Pass
Raj D'Souza,05-05-2006,979581,Maharashtra,6,20,20,10,56,Pass
Rehan Sharma,21-02-2005,535078,Punjab,16,21,2,14,53,Pass
Harjeet Verma,11-01-2006,185720,Tamil Nadu,5,17,11,14,47,Pass
Yash Sharma,26-04-2006,611610,Uttar Pradesh,3,9,4,14,30,Pass
Rohan Reddy,21-11-2004,400312,Assam,5,3,14,23,45,Pass
John D'Souza,12-01-2005,386027,Andhra Pradesh,18,6,18,8,50,Pass
Harjeet Singh,17-12-2005,725087,Andhra Pradesh,13,19,11,7,50,Pass
Aryan Singh,11-03-2005,608630,Gujarat,18,24,1,19,62,Pass
Vivaan Pillai,09-05-2006,542439,Rajasthan,21,23,0,3,47,Pass
Sukhwinder Mehta,12-11-2004,913336,Uttar Pradesh,11,9,4,14,38,Pass
Yash Verma,02-12-2004,127478,Jharkhand,4,24,16,3,47,Pass
Imran Fernandes,16-10-2005,217953,Maharashtra,3,9,24,17,53,Pass
Aryan Khan,14-04-2006,990329,Chhattisgarh,16,5,5,0,26,Pass
Vivaan Fernandes,01-03-2006,430380,Haryana,4,23,13,17,57,Pass
Aryan Singh,15-09-2005,676625,Rajasthan,12,11,21,3,47,Pass
Krishna Sharma,04-10-2005,785142,Uttar Pradesh,11,9,4,14,38,Pass
Vivaan Chopra,02-08-2005,563764,Andhra Pradesh,7,11,10,14,42,Pass
Kunal Chopra,21-04-2005,435237,Telangana,5,3,14,5,27,Pass
Yash Pillai,28-11-2005,671891,Bihar,12,20,9,3,44,Pass
Kunal Sharma,13-04-2006,240376,Uttar Pradesh,7,9,4,14,34,Pass
Yash D'Souza,05-07-2005,917609,Bihar,7,4,3,8,22,Pass
Yash Chopra,27-08-2005,296359,Madhya Pradesh,1,21,23,22,67,Pass
Mathew Khan,15-01-2005,272237,Madhya Pradesh,4,5,2,17,28,Pass
Aditya Khan,21-11-2004,424743,Madhya Pradesh,1,14,16,11,42,Pass
Aditya Fernandes,16-09-2005,661687,Delhi,0,18,4,2,24,Pass
Rohan Singh,26-04-2005,963829,Uttar Pradesh,13,9,4,14,40,Pass
Yash Reddy,03-01-2005,141017,Rajasthan,24,15,10,13,62,Pass
Balbir Chopra,18-10-2005,382108,Bihar,5,5,5,3,18,Pass
Peter Singh,08-03-2006,825088,Maharashtra,3,22,1,14,40,Pass
Zaid Chopra,29-04-2005,950520,Andhra Pradesh,6,1,21,20,48,Pass
Kunal Chopra,15-02-2006,841726,Rajasthan,23,7,19,16,65,Pass
Aditya Fernandes,19-05-2005,379338,Kerala,13,19,7,15,54,Pass
Vivaan Sharma,23-10-2005,939857,Uttar Pradesh,24,9,4,14,51,Pass
Raj Mehta,26-11-2005,941451,Gujarat,14,7,3,21,45,Pass
Rehan D'Souza,20-04-2006,508549,Uttarakhand,3,12,8,23,46,Pass
Yash Verma,10-04-2005,287880,Jammu & Kashmir + Ladakh,3,18,0,13,34,Pass
Rohan Singh,26-06-2005,526029,Punjab,14,12,4,20,50,Pass
David Sharma,31-03-2005,947027,Haryana,24,22,14,3,63,Pass
David Mehta,17-11-2005,853644,Bihar,1,3,20,14,38,Pass
Aditya Khan,03-06-2005,648411,Uttar Pradesh,12,9,4,14,39,Pass
Kunal Fernandes,25-11-2004,328287,Jammu & Kashmir + Ladakh,10,24,19,0,53,Pass
Rohan Pillai,30-09-2005,571099,Rajasthan,24,12,21,5,62,Pass
Raj Fernandes,11-03-2006,757504,Uttar Pradesh,5,9,4,14,32,Pass
John D'Souza,17-04-2005,783825,Madhya Pradesh,8,5,14,18,45,Pass
Imran Fernandes,22-02-2005,920294,Maharashtra,3,10,12,14,39,Pass
Ishaan Singh,08-03-2005,784143,Punjab,23,9,8,3,43,Pass
Ishaan Pillai,26-11-2004,357312,West Bengal,4,23,13,0,40,Pass
Aarav Sharma,13-10-2005,972723,Maharashtra,3,5,15,12,35,Pass
Vivaan D'Souza,30-01-2005,134282,Maharashtra,2,9,19,4,34,Pass
John Singh,18-11-2004,193586,Assam,11,20,1,9,41,Pass
Yash Chopra,11-08-2005,747755,Tamil Nadu,7,5,18,7,37,Pass
Aditya Reddy,15-01-2006,615381,Bihar,6,4,7,3,20,Pass
Aditya Pillai,28-02-2006,278260,Punjab,20,12,3,12,47,Pass
Krishna Sharma,23-11-2004,337018,West Bengal,1,11,13,21,46,Pass
Aditya Fernandes,08-12-2004,245481,Chhattisgarh,14,15,10,14,53,Pass
Ayaan Fernandes,30-06-2005,959118,Andhra Pradesh,23,8,10,6,47,Pass
Aryan Khan,18-10-2005,162828,Uttar Pradesh,10,9,4,14,37,Pass
Ishaan Sharma,10-01-2005,436671,Telangana,11,16,1,5,33,Pass
Rohan Sharma,20-03-2006,766938,Uttar Pradesh,10,9,4,14,37,Pass
Aditya Verma,03-04-2006,690704,Bihar,7,4,3,13,27,Pass
David Khan,20-02-2005,159519,Himachal Pradesh,5,9,6,6,26,Pass
Yash Fernandes,12-10-2005,877382,Uttar Pradesh,14,9,4,14,41,Pass
Yash Verma,03-07-2005,694455,Rajasthan,11,3,12,13,39,Pass
Sukhwinder Khan,10-03-2006,165193,Haryana,11,12,12,13,48,Pass
Aditya Reddy,02-06-2005,690138,Rajasthan,11,3,18,1,33,Pass
Vivaan D'Souza,21-11-2004,806609,Bihar,6,22,13,20,61,Pass
Ishaan Fernandes,28-07-2005,885215,Odisha,18,23,23,22,86,Pass
Balbir Pillai,14-08-2005,885875,Punjab,20,3,12,13,48,Pass
Sukhwinder Sharma,27-11-2005,414372,Uttarakhand,3,9,8,22,42,Pass
Raj Chopra,08-04-2005,150591,Rajasthan,9,17,16,7,49,Pass
Vivaan Verma,22-02-2006,469292,Uttar Pradesh,20,9,4,14,47,Pass
Yash D'Souza,14-04-2005,874267,Sikkim,12,14,23,10,59,Pass
Krishna Verma,27-08-2005,145734,Telangana,22,22,3,14,61,Pass
Aditya D'Souza,10-01-2006,333129,Rajasthan,16,12,9,0,37,Pass
Aarav Khan,05-07-2005,414419,Gujarat,22,4,19,5,50,Pass
