Candidate Name,DOB,Registration Number,State,Maths,Physics,English,GK,Total Marks,PFT
Vivaan Reddy,16-02-2006,179688,Bihar,20,16,22,23,81,Pass
Aryan Fernandes,15-04-2006,195765,Bihar,21,24,17,19,81,Pass
Ishaan Sharma,30-11-2004,380911,Bihar,23,21,17,19,80,Pass
Aarav Mehta,17-12-2004,269344,Bihar,18,20,20,22,80,Pass
Aryan Verma,16-01-2005,172383,Bihar,24,22,14,20,80,Pass
Mathew Mehta,30-01-2005,816829,Bihar,24,15,18,23,80,Pass
Aarav Reddy,04-02-2005,108311,Bihar,23,18,17,22,80,Pass
Sukhwinder Mehta,07-06-2005,232873,Bihar,24,10,22,24,80,Pass
Yash Pillai,07-07-2005,464585,Bihar,21,23,16,20,80,Pass
Krishna Khan,16-08-2005,118289,Bihar,18,17,24,21,80,Pass
Harjeet Mehta,06-04-2006,397731,Bihar,24,24,12,20,80,Pass
Manpreet Mehta,06-12-2004,880152,Bihar,21,24,23,11,79,Pass
Vivaan Khan,06-02-2005,965348,Bihar,21,23,13,22,79,Pass
Aryan D'Souza,26-02-2005,956029,Bihar,22,21,24,12,79,Pass
Vivaan Verma,17-04-2005,377099,Bihar,14,23,20,22,79,Pass
Aditya Verma,19-05-2005,465379,Bihar,17,21,23,18,79,Pass
Imran Fernandes,16-06-2005,833111,Bihar,17,16,23,23,79,Pass
Aditya D'Souza,22-09-2005,373620,Bihar,24,24,9,22,79,Pass
Aditya D'Souza,26-11-2005,858952,Bihar,19,19,22,19,79,Pass
Harjeet D'Souza,24-01-2006,871491,Bihar,23,18,18,20,79,Pass
Raj Singh,21-02-2006,905640,Bihar,23,15,17,24,79,Pass
Mathew Sharma,04-05-2006,180946,Bihar,24,20,17,18,79,Pass
Yash Pillai,11-12-2004,586778,Bihar,15,24,21,18,78,Pass
Manpreet Mehta,15-01-2005,669152,Bihar,24,17,21,16,78,Pass
Harjeet Fernandes,26-01-2005,675998,Bihar,13,24,18,23,78,Pass
Krishna Pillai,24-02-2005,241939,Bihar,17,21,23,17,78,Pass
Ishaan Fernandes,21-05-2005,214444,Bihar,22,22,15,19,78,Pass
Krishna Fernandes,25-08-2005,853088,Bihar,18,24,17,19,78,Pass
Krishna Singh,03-09-2005,976387,Bihar,23,22,11,22,78,Pass
Aarav Sharma,29-09-2005,852293,Bihar,20,18,22,18,78,Pass
Kunal Reddy,05-10-2005,667428,Bihar,22,20,17,19,78,Pass
Aditya Pillai,24-11-2005,251743,Bihar,18,17,21,22,78,Pass
Rohan Pillai,08-12-2005,473669,Bihar,24,17,24,13,78,Pass
Raj Khan,16-01-2006,586091,Bihar,17,17,23,21,78,Pass
Aryan D'Souza,27-03-2006,865691,Bihar,23,8,24,23,78,Pass
Rohan Verma,01-05-2006,246424,Bihar,24,18,20,16,78,Pass
John D'Souza,08-05-2006,407672,Bihar,19,22,19,18,78,Pass
Harjeet Khan,10-11-2004,927594,Bihar,21,24,10,22,77,Pass
Aarav Singh,24-11-2004,372681,Bihar,23,19,16,19,77,Pass
Aditya Mehta,25-03-2005,922728,Bihar,23,22,23,9,77,Pass
Raj Sharma,27-03-2005,330150,Bihar,24,23,17,13,77,Pass
Krishna Sharma,15-04-2005,957758,Bihar,22,12,24,19,77,Pass
Rohan Fernandes,11-05-2005,150168,Bihar,20,23,13,21,77,Pass
John Verma,26-05-2005,886412,Bihar,21,23,11,22,77,Pass
Paul Singh,07-07-2005,703378,Bihar,24,8,24,21,77,Pass
Raj D'Souza,29-07-2005,159222,Bihar,14,18,21,24,77,Pass
Yash Singh,14-10-2005,319768,Bihar,12,23,21,21,77,Pass
Rohan D'Souza,11-11-2005,790861,Bihar,24,20,9,24,77,Pass
Vivaan Sharma,15-11-2005,605740,Bihar,12,17,24,24,77,Pass
Kunal Pillai,03-03-2006,209487,Bihar,24,13,24,16,77,Pass
Yash Singh,12-11-2004,399156,Bihar,20,15,20,21,76,Pass
Yash Chopra,12-12-2004,236553,Bihar,24,18,16,18,76,Pass
Manpreet Fernandes,13-12-2004,649063,Bihar,20,14,19,23,76,Pass
Aditya Fernandes,30-12-2004,964254,Bihar,22,16,14,24,76,Pass
Gurpreet Singh,01-01-2005,228941,Bihar,14,24,14,24,76,Pass
Rohan Khan,15-03-2005,391510,Bihar,20,20,12,24,76,Pass
Aarav Singh,28-04-2005,703250,Bihar,22,22,22,10,76,Pass
Krishna Reddy,03-07-2005,747995,Bihar,13,21,20,22,76,Pass
David Reddy,25-08-2005,667746,Bihar,18,16,19,23,76,Pass
Yash Singh,07-09-2005,629367,Bihar,13,24,24,15,76,Pass
Raj Fernandes,03-11-2005,282870,Bihar,24,22,11,19,76,Pass
Aditya D'Souza,22-11-2005,993293,Bihar,8,23,22,23,76,Pass
Sukhwinder Verma,21-02-2006,296754,Bihar,15,23,21,17,76,Pass
Peter Khan,15-03-2006,131206,Bihar,20,16,24,16,76,Pass
Harjeet Singh,30-11-2004,414135,Bihar,17,19,19,20,75,Pass
Aditya Sharma,16-12-2004,621750,Bihar,21,17,21,16,75,Pass
Balbir Singh,01-03-2005,902986,Bihar,7,24,24,20,75,Pass
Aditya Reddy,24-04-2005,674803,Bihar,24,14,24,13,75,Pass
Rohan D'Souza,05-06-2005,859509,Bihar,14,14,24,23,75,Pass
Rohan Khan,17-07-2005,169519,Bihar,14,22,20,19,75,Pass
Krishna Fernandes,21-07-2005,343364,Bihar,22,16,24,13,75,Pass
Rohan Singh,02-08-2005,743623,Bihar,24,23,12,16,75,Pass
Kunal Singh,18-08-2005,454197,Bihar,21,17,14,23,75,Pass
Ishaan Khan,16-09-2005,664752,Bihar,20,24,18,13,75,Pass
Mathew D'Souza,04-11-2005,514766,Bihar,19,21,17,18,75,Pass
Aryan Chopra,17-11-2005,493703,Bihar,24,12,16,23,75,Pass
Yash Sharma,23-11-2005,423084,Bihar,13,23,21,18,75,Pass
Rohan Pillai,14-12-2005,894486,Bihar,24,24,4,23,75,Pass
Mathew Reddy,14-02-2006,860736,Bihar,21,6,24,24,75,Pass
Gurpreet D'Souza,19-02-2006,459710,Bihar,19,15,21,20,75,Pass
Yash Khan,23-02-2006,826411,Bihar,14,23,24,14,75,Pass
Yash Reddy,07-03-2006,561407,Bihar,19,10,22,24,75,Pass
Vivaan Khan,09-03-2006,930696,Bihar,15,23,22,15,75,Pass
Yash Khan,10-03-2006,865954,Bihar,11,24,18,22,75,Pass
Krishna Fernandes,07-05-2006,690808,Bihar,19,12,23,21,75,Pass
Aarav Singh,03-12-2004,214759,Bihar,20,22,10,22,74,Pass
Vivaan Sharma,14-12-2004,714743,Bihar,21,23,18,12,74,Pass
Peter Khan,22-04-2005,840627,Bihar,15,14,21,24,74,Pass
Vivaan Verma,06-05-2005,426791,Bihar,23,20,11,20,74,Pass
Kunal D'Souza,30-05-2005,757353,Bihar,16,23,17,18,74,Pass
Vivaan Verma,17-10-2005,878095,Bihar,15,20,22,17,74,Pass
Aarav D'Souza,20-10-2005,351340,Bihar,20,12,24,18,74,Pass
Ishaan D'Souza,21-10-2005,370524,Bihar,9,22,22,21,74,Pass
Aryan Verma,14-02-2006,901328,Bihar,8,23,22,21,74,Pass
Aditya Fernandes,06-04-2006,873133,Bihar,13,22,15,24,74,Pass
Aditya Sharma,22-04-2006,336837,Bihar,16,19,23,16,74,Pass
Aditya Sharma,11-11-2004,212636,Bihar,23,24,9,17,73,Pass
Sukhwinder D'Souza,14-11-2004,949793,Bihar,24,9,21,19,73,Pass
Krishna Fernandes,16-11-2004,341172,Bihar,8,22,19,24,73,Pass
Krishna Fernandes,12-12-2004,299680,Bihar,23,17,11,22,73,Pass
David D'Souza,17-03-2005,404767,Bihar,17,17,20,19,73,Pass
Yash Reddy,08-04-2005,651778,Bihar,22,14,19,18,73,Pass
Ishaan Mehta,17-04-2005,758462,Bihar,7,22,20,24,73,Pass
Vivaan Mehta,31-05-2005,892401,Bihar,21,21,19,12,73,Pass
Yash Pillai,11-06-2005,221170,Bihar,22,24,11,16,73,Pass
John Verma,16-06-2005,216733,Bihar,24,11,16,22,73,Pass
Vivaan Chopra,27-08-2005,391012,Bihar,18,24,20,11,73,Pass
John Fernandes,30-08-2005,470074,Bihar,23,16,16,18,73,Pass
Gurpreet Singh,01-09-2005,511562,Bihar,15,20,19,19,73,Pass
Vivaan Chopra,26-09-2005,867795,Bihar,22,21,16,14,73,Pass
Gurpreet D'Souza,27-09-2005,794069,Bihar,14,15,22,22,73,Pass
Paul Pillai,05-10-2005,885785,Bihar,20,12,24,17,73,Pass
Krishna Reddy,28-12-2005,125584,Bihar,21,18,13,21,73,Pass
Raj Mehta,05-01-2006,957590,Bihar,13,22,21,17,73,Pass
Krishna Singh,28-01-2006,577806,Bihar,18,12,20,23,73,Pass
Vivaan Pillai,10-02-2006,955203,Bihar,19,12,24,18,73,Pass
Rohan Mehta,12-02-2006,469036,Bihar,21,21,9,22,73,Pass
Aditya Verma,17-02-2006,703982,Bihar,23,17,18,15,73,Pass
Raj Sharma,22-02-2006,986674,Bihar,22,14,22,15,73,Pass
Aryan Sharma,08-03-2006,790379,Bihar,18,16,20,19,73,Pass
Rohan Singh,23-04-2006,486770,Bihar,24,17,19,13,73,Pass
Aditya Reddy,25-04-2006,548349,Bihar,22,13,21,17,73,Pass
Raj Reddy,12-11-2004,227602,Bihar,19,9,23,21,72,Pass
Zaid Fernandes,14-11-2004,641272,Bihar,24,16,9,23,72,Pass
Ishaan Pillai,06-12-2004,152144,Bihar,23,23,14,12,72,Pass
Rohan Sharma,07-12-2004,650782,Bihar,7,23,18,24,72,Pass
Krishna Mehta,29-12-2004,151348,Bihar,13,20,22,17,72,Pass
Rohan Pillai,18-01-2005,852147,Bihar,8,21,23,20,72,Pass
Peter D'Souza,08-02-2005,316531,Bihar,14,23,22,13,72,Pass
Paul D'Souza,12-02-2005,675201,Bihar,24,12,21,15,72,Pass
Raj Pillai,18-02-2005,404209,Bihar,22,20,9,21,72,Pass
Aryan Verma,18-02-2005,128784,Bihar,21,18,16,17,72,Pass
Aditya Verma,19-02-2005,477384,Bihar,20,23,12,17,72,Pass
Raj Verma,05-03-2005,487360,Bihar,15,13,21,23,72,Pass
Rohan D'Souza,18-03-2005,444618,Bihar,14,21,17,20,72,Pass
Vivaan Sharma,30-03-2005,672008,Bihar,20,22,21,9,72,Pass
Vivaan Fernandes,01-05-2005,491594,Bihar,24,22,6,20,72,Pass
Raj Reddy,04-06-2005,858428,Bihar,21,19,11,21,72,Pass
Yash Chopra,02-08-2005,149929,Bihar,15,15,19,23,72,Pass
Rohan Pillai,09-08-2005,130985,Bihar,12,20,18,22,72,Pass
Vivaan Chopra,27-08-2005,114836,Bihar,21,19,9,23,72,Pass
Rohan Sharma,30-08-2005,159405,Bihar,19,16,19,18,72,Pass
Aarav Fernandes,27-12-2005,658621,Bihar,23,19,21,9,72,Pass
Aarav Fernandes,27-12-2005,975842,Bihar,21,22,7,22,72,Pass
Kunal Reddy,13-03-2006,827736,Bihar,18,21,20,13,72,Pass
Rohan D'Souza,30-03-2006,815626,Bihar,21,19,8,24,72,Pass
Rohan D'Souza,05-04-2006,498588,Bihar,18,21,15,18,72,Pass
Manpreet Singh,08-04-2006,899298,Bihar,6,21,22,23,72,Pass
David Fernandes,15-04-2006,780537,Bihar,6,22,20,24,72,Pass
Rohan Fernandes,17-04-2006,200092,Bihar,15,19,20,18,72,Pass
Raj Khan,15-11-2004,694183,Bihar,19,20,24,8,71,Pass
Aditya Mehta,29-12-2004,345671,Bihar,23,24,11,13,71,Pass
Rehan Verma,04-01-2005,151365,Bihar,24,17,17,13,71,Pass
Rohan Fernandes,08-01-2005,247348,Bihar,22,16,15,18,71,Pass
Vivaan Chopra,16-02-2005,254803,Bihar,15,13,23,20,71,Pass
Gurpreet Chopra,06-03-2005,915221,Bihar,15,21,22,13,71,Pass
Ishaan D'Souza,02-06-2005,848972,Bihar,20,14,23,14,71,Pass
Krishna Verma,27-06-2005,783798,Bihar,5,24,24,18,71,Pass
Rohan D'Souza,07-08-2005,677994,Bihar,10,16,21,24,71,Pass
Vivaan Verma,11-08-2005,931417,Bihar,9,21,22,19,71,Pass
Yash Khan,09-10-2005,331817,Bihar,24,22,17,8,71,Pass
Aryan Sharma,27-10-2005,875368,Bihar,16,15,20,20,71,Pass
Yash Reddy,07-12-2005,616221,Bihar,9,24,21,17,71,Pass
Manpreet Fernandes,12-12-2005,555949,Bihar,19,21,15,16,71,Pass
Aarav Pillai,14-12-2005,257902,Bihar,23,22,7,19,71,Pass
Mathew Chopra,16-12-2005,660154,Bihar,12,19,19,21,71,Pass
Balbir Sharma,19-12-2005,454480,Bihar,19,7,22,23,71,Pass
John Mehta,11-01-2006,886139,Bihar,18,20,16,17,71,Pass
Aarav D'Souza,04-03-2006,538582,Bihar,14,21,14,22,71,Pass
Yash Pillai,19-04-2006,287190,Bihar,21,12,16,22,71,Pass
Yash D'Souza,04-12-2004,791460,Bihar,14,23,21,12,70,Pass
Manpreet D'Souza,26-12-2004,239893,Bihar,10,22,14,24,70,Pass
Rehan Sharma,01-01-2005,789296,Bihar,10,24,18,18,70,Pass
Yash D'Souza,17-01-2005,961832,Bihar,17,20,20,13,70,Pass
Yash Verma,02-04-2005,322759,Bihar,18,24,10,18,70,Pass
Harjeet Verma,03-04-2005,885775,Bihar,12,21,14,23,70,Pass
Mathew Reddy,12-04-2005,941345,Bihar,17,16,18,19,70,Pass
Rohan D'Souza,08-05-2005,210056,Bihar,12,17,19,22,70,Pass
Mathew Reddy,14-06-2005,589121,Bihar,13,21,13,23,70,Pass
Ishaan Pillai,18-06-2005,274343,Bihar,23,8,23,16,70,Pass
Aryan Khan,24-06-2005,364648,Bihar,16,20,23,11,70,Pass
Mathew Pillai,30-06-2005,430749,Bihar,15,13,21,21,70,Pass
Kunal Fernandes,02-07-2005,256351,Bihar,20,15,22,13,70,Pass
Krishna Verma,13-08-2005,378231,Bihar,22,18,14,16,70,Pass
Ishaan Khan,21-08-2005,337915,Bihar,13,24,24,9,70,Pass
Aditya Reddy,02-09-2005,389145,Bihar,5,22,20,23,70,Pass
Ishaan Verma,18-09-2005,150401,Bihar,14,12,23,21,70,Pass
Yash Pillai,22-11-2005,981497,Bihar,15,21,23,11,70,Pass
Zaid Sharma,30-11-2005,888372,Bihar,17,23,13,17,70,Pass
Yash Fernandes,19-12-2005,370699,Bihar,11,20,21,18,70,Pass
Gurpreet Chopra,01-01-2006,577314,Bihar,22,20,16,12,70,Pass
Aryan Verma,09-01-2006,169062,Bihar,12,23,21,14,70,Pass
Aryan Chopra,11-01-2006,732962,Bihar,11,21,17,21,70,Pass
Yash Verma,14-01-2006,158194,Bihar,22,16,13,19,70,Pass
Aarav Verma,19-03-2006,171798,Bihar,15,20,11,24,70,Pass
Raj Mehta,21-03-2006,782526,Bihar,15,18,15,22,70,Pass
Harjeet D'Souza,26-03-2006,807574,Bihar,13,23,16,18,70,Pass
Aditya Fernandes,31-03-2006,583333,Bihar,18,17,17,18,70,Pass
Balbir Pillai,03-04-2006,410255,Bihar,17,15,21,17,70,Pass
Yash Reddy,23-04-2006,459803,Bihar,22,13,11,24,70,Pass
Kunal D'Souza,23-11-2004,480720,Bihar,16,20,24,9,69,Pass
Manpreet Singh,14-12-2004,595690,Bihar,9,21,24,15,69,Pass
Raj Pillai,19-12-2004,797436,Bihar,20,8,21,20,69,Pass
Sukhwinder Fernandes,23-12-2004,319559,Bihar,19,11,16,23,69,Pass
Ishaan Mehta,26-12-2004,284469,Bihar,18,12,19,20,69,Pass
Rohan Verma,29-12-2004,774831,Bihar,23,19,8,19,69,Pass
Krishna Pillai,31-12-2004,461886,Bihar,16,14,19,20,69,Pass
Aryan Chopra,19-01-2005,218201,Bihar,14,13,23,19,69,Pass
Yash Mehta,30-01-2005,122375,Bihar,4,20,23,22,69,Pass
John Singh,09-02-2005,596229,Bihar,19,13,18,19,69,Pass
Kunal Khan,10-02-2005,374546,Bihar,4,19,22,24,69,Pass
Rohan Verma,23-03-2005,589817,Bihar,23,18,24,4,69,Pass
Ishaan Mehta,02-05-2005,174418,Bihar,6,21,23,19,69,Pass
Aarav Sharma,06-05-2005,429506,Bihar,20,18,12,19,69,Pass
Ishaan D'Souza,09-05-2005,425564,Bihar,14,21,21,13,69,Pass
Ishaan Verma,18-05-2005,747444,Bihar,24,21,6,18,69,Pass
Yash Fernandes,26-05-2005,657455,Bihar,17,17,11,24,69,Pass
Kunal Reddy,12-06-2005,168385,Bihar,6,15,24,24,69,Pass
Aryan Khan,17-06-2005,977252,Bihar,23,17,10,19,69,Pass
Sukhwinder Verma,19-06-2005,749387,Bihar,19,22,15,13,69,Pass
Vivaan Verma,20-06-2005,336581,Bihar,24,14,18,13,69,Pass
Aryan Singh,24-06-2005,478898,Bihar,23,9,14,23,69,Pass
Aryan Mehta,01-07-2005,373172,Bihar,18,13,24,14,69,Pass
Rohan Pillai,15-07-2005,385572,Bihar,21,5,20,23,69,Pass
Aryan Mehta,22-07-2005,538529,Bihar,8,21,17,23,69,Pass
Harjeet Mehta,19-09-2005,880434,Bihar,19,15,17,18,69,Pass
Yash Sharma,04-10-2005,914468,Bihar,24,21,19,5,69,Pass
Ishaan D'Souza,21-10-2005,992180,Bihar,19,15,15,20,69,Pass
Krishna Singh,24-10-2005,256230,Bihar,19,13,18,19,69,Pass
Krishna Singh,28-11-2005,503498,Bihar,19,11,17,22,69,Pass
Raj Chopra,06-12-2005,199685,Bihar,15,18,16,20,69,Pass
Ishaan Verma,25-12-2005,628781,Bihar,21,21,21,6,69,Pass
Yash Sharma,31-12-2005,181815,Bihar,20,8,23,18,69,Pass
Krishna Chopra,31-01-2006,876826,Bihar,13,11,22,23,69,Pass
Imran Reddy,07-02-2006,286749,Bihar,22,18,7,22,69,Pass
Krishna Verma,14-02-2006,219192,Bihar,6,21,18,24,69,Pass
Ishaan Khan,18-02-2006,258221,Bihar,23,16,17,13,69,Pass
Manpreet Singh,17-03-2006,234449,Bihar,7,21,22,19,69,Pass
Krishna Singh,07-04-2006,975557,Bihar,8,17,20,24,69,Pass
Krishna D'Souza,13-04-2006,110366,Bihar,24,9,18,18,69,Pass
Vivaan Verma,24-04-2006,504136,Bihar,19,24,8,18,69,Pass
Vivaan Chopra,21-11-2004,404921,Bihar,6,18,22,22,68,Pass
Balbir Pillai,24-12-2004,543884,Bihar,12,15,20,21,68,Pass
Vivaan Chopra,06-01-2005,881402,Bihar,18,20,17,13,68,Pass
Yash Sharma,14-01-2005,554854,Bihar,11,20,14,23,68,Pass
Manpreet Chopra,21-01-2005,972533,Bihar,21,21,20,6,68,Pass
Paul Reddy,03-02-2005,602108,Bihar,16,6,22,24,68,Pass
Aryan D'Souza,05-02-2005,988667,Bihar,22,19,4,23,68,Pass
Mathew Sharma,30-03-2005,685604,Bihar,24,22,9,13,68,Pass
Peter D'Souza,16-05-2005,961138,Bihar,9,21,18,20,68,Pass
Aditya D'Souza,23-05-2005,460775,Bihar,12,22,15,19,68,Pass
Aditya Singh,01-06-2005,813247,Bihar,15,8,23,22,68,Pass
Gurpreet Verma,27-06-2005,667659,Bihar,14,24,9,21,68,Pass
Harjeet Pillai,07-07-2005,538155,Bihar,23,12,22,11,68,Pass
Krishna Chopra,19-07-2005,498533,Bihar,7,23,18,20,68,Pass
Peter Mehta,20-07-2005,222392,Bihar,23,23,12,10,68,Pass
Kunal Verma,03-08-2005,881572,Bihar,17,20,15,16,68,Pass
Aarav D'Souza,04-08-2005,949279,Bihar,23,11,13,21,68,Pass
Ayaan D'Souza,08-08-2005,271612,Bihar,22,18,19,9,68,Pass
Farhan Khan,17-08-2005,449865,Bihar,7,24,20,17,68,Pass
Rohan Pillai,22-08-2005,114434,Bihar,17,21,10,20,68,Pass
Raj Chopra,09-09-2005,494274,Bihar,11,24,21,12,68,Pass
Raj Reddy,20-09-2005,151638,Bihar,15,17,16,20,68,Pass
Harjeet Singh,06-10-2005,921593,Bihar,21,22,16,9,68,Pass
Ishaan Fernandes,12-10-2005,196995,Bihar,13,22,14,19,68,Pass
Yash Khan,19-10-2005,731366,Bihar,5,20,19,24,68,Pass
David Reddy,10-11-2005,171614,Bihar,23,11,24,10,68,Pass
Harjeet Singh,02-12-2005,965322,Bihar,15,23,22,8,68,Pass
Rohan Pillai,04-12-2005,873593,Bihar,24,23,12,9,68,Pass
Vivaan Reddy,20-12-2005,787745,Bihar,22,9,24,13,68,Pass
Harjeet Sharma,29-01-2006,571192,Bihar,19,24,6,19,68,Pass
Rohan Khan,18-02-2006,491096,Bihar,12,14,23,19,68,Pass
Raj Mehta,23-02-2006,835375,Bihar,14,19,16,19,68,Pass
Harjeet Reddy,25-02-2006,901196,Bihar,22,10,16,20,68,Pass
Yash Khan,04-03-2006,384581,Bihar,7,24,18,19,68,Pass
Krishna Fernandes,08-03-2006,897146,Bihar,24,21,5,18,68,Pass
Sukhwinder Fernandes,24-03-2006,624458,Bihar,23,11,24,10,68,Pass
Balbir Verma,04-04-2006,706114,Bihar,16,12,22,18,68,Pass
Aryan Chopra,11-04-2006,526220,Bihar,13,14,19,22,68,Pass
Krishna Pillai,17-11-2004,576628,Bihar,9,19,19,20,67,Pass
Raj Pillai,21-11-2004,818558,Bihar,23,13,22,9,67,Pass
Rohan Khan,22-11-2004,344583,Bihar,13,19,15,20,67,Pass
Raj Verma,29-11-2004,270198,Bihar,18,15,12,22,67,Pass
Gurpreet Pillai,11-12-2004,952240,Bihar,5,17,21,24,67,Pass
Yash Reddy,14-12-2004,467802,Bihar,15,23,7,22,67,Pass
Manpreet Mehta,27-01-2005,134255,Bihar,23,8,14,22,67,Pass
Raj Verma,30-01-2005,423452,Bihar,15,24,9,19,67,Pass
John Sharma,31-01-2005,569344,Bihar,13,16,20,18,67,Pass
David D'Souza,13-02-2005,113488,Bihar,21,15,14,17,67,Pass
Kunal Verma,20-02-2005,923714,Bihar,16,23,10,18,67,Pass
Imran Chopra,08-03-2005,515586,Bihar,23,21,15,8,67,Pass
John Fernandes,04-04-2005,291375,Bihar,19,15,13,20,67,Pass
Harjeet Mehta,16-04-2005,851809,Bihar,17,24,10,16,67,Pass
Ishaan Reddy,28-04-2005,314501,Bihar,20,18,6,23,67,Pass
Vivaan Verma,02-05-2005,826592,Bihar,23,5,16,23,67,Pass
Ishaan Singh,05-05-2005,635741,Bihar,11,24,14,18,67,Pass
John Pillai,20-05-2005,431060,Bihar,23,11,15,18,67,Pass
Aarav Chopra,06-06-2005,392423,Bihar,18,19,24,6,67,Pass
Rohan Verma,24-06-2005,721747,Bihar,12,23,14,18,67,Pass
Krishna Verma,08-07-2005,324178,Bihar,14,11,18,24,67,Pass
Aarav Khan,11-07-2005,788583,Bihar,16,19,21,11,67,Pass
Peter Verma,11-08-2005,694792,Bihar,19,7,17,24,67,Pass
Krishna Verma,29-08-2005,736948,Bihar,12,23,8,24,67,Pass
Manpreet Khan,01-09-2005,926850,Bihar,11,14,21,21,67,Pass
Krishna Sharma,07-09-2005,759189,Bihar,13,10,22,22,67,Pass
Ayaan Sharma,27-09-2005,941627,Bihar,23,15,15,14,67,Pass
Kunal Verma,02-10-2005,908188,Bihar,24,21,6,16,67,Pass
Krishna Khan,08-10-2005,868643,Bihar,11,22,18,16,67,Pass
Rohan Khan,17-10-2005,916110,Bihar,21,19,11,16,67,Pass
John Mehta,14-11-2005,722962,Bihar,22,15,6,24,67,Pass
Rohan Reddy,26-11-2005,200835,Bihar,20,22,5,20,67,Pass
Mathew Fernandes,28-11-2005,182378,Bihar,15,24,6,22,67,Pass
Paul Verma,09-12-2005,121271,Bihar,24,9,23,11,67,Pass
Rohan Singh,10-12-2005,868915,Bihar,7,18,22,20,67,Pass
Yash Mehta,22-12-2005,357322,Bihar,23,8,21,15,67,Pass
Aryan Singh,28-12-2005,896125,Bihar,19,8,20,20,67,Pass
Aditya Reddy,05-01-2006,650893,Bihar,21,15,19,12,67,Pass
Harjeet D'Souza,06-01-2006,118646,Bihar,23,5,21,18,67,Pass
Raj Reddy,25-01-2006,698649,Bihar,23,21,4,19,67,Pass
Balbir Pillai,05-02-2006,770575,Bihar,7,14,23,23,67,Pass
Vivaan Khan,09-02-2006,374098,Bihar,14,23,13,17,67,Pass
Balbir Reddy,22-02-2006,236696,Bihar,8,18,23,18,67,Pass
Aarav D'Souza,26-02-2006,885509,Bihar,24,15,18,10,67,Pass
Sukhwinder Chopra,27-02-2006,684240,Bihar,15,23,22,7,67,Pass
Vivaan Fernandes,16-03-2006,395586,Bihar,24,16,13,14,67,Pass
Kunal Khan,02-05-2006,967258,Bihar,6,21,23,17,67,Pass
Manpreet D'Souza,15-02-2006,267938,Uttar Pradesh,22,5,24,23,74,Pass
Krishna D'Souza,20-11-2004,913323,Uttar Pradesh,15,19,24,14,72,Pass
Raj Chopra,27-11-2004,564809,Uttar Pradesh,24,11,18,19,72,Pass
Rohan Sharma,11-12-2004,208347,Uttar Pradesh,22,22,5,23,72,Pass
Yash Sharma,04-01-2005,885983,Uttar Pradesh,24,23,16,9,72,Pass
Aryan Mehta,10-03-2005,521172,Uttar Pradesh,16,14,18,24,72,Pass
